Fund,Category,Asset Class,TER,CAGR Since Inception,1 Year CAGR,3 Years CAGR,5 Years CAGR,10 Years CAGR,Alpha,Beta,Standard Deviation,Sharpe Ratio,Small Cap,Mid Cap,Large Cap,Others
Nippon-India-Large-Cap-Fund-Growth-Plan-Growth-Option,Equity: Large Cap,Equity,1.72%,12.21,17.11,25.94,14.83,16.54,6.04,1.04,15.5,1.4,6.0%,12.21%,81.67%,0.12%
Tata-Large-Cap-Fund-Direct-Plan-Growth-Option,Equity: Large Cap,Equity,1.21%,13.27,10.6,19.57,14.45,14.04,1.49,0.97,14.3,1.12,6.83%,7.61%,82.96%,2.6%
SBI-Blue-Chip-Fund-Regular-Plan-Growth,Equity: Large Cap,Equity,1.59%,11.67,10.66,18.67,14.13,15.21,0.65,0.98,14.54,1.06,,11.24%,83.29%,5.48%
quant-Large-Cap-Fund-Growth-Option-Regular-Plan,Equity: Large Cap,,2.39%,8.95,9.45,0.0,0.0,0.0,,,,,,3.61%,57.15%,39.25%
Mirae-Asset-Large-Cap-Fund-Growth-Plan,Equity: Large Cap,Equity,1.54%,14.8,7.25,15.5,12.93,16.11,-0.99,0.89,13.03,0.95,2.99%,13.47%,83.15%,0.36%
Kotak-Bluechip-Fund-Growth,Equity: Large Cap,Equity,1.79%,18.64,9.67,16.97,14.59,14.13,-0.23,0.91,13.2,1.01,2.41%,14.53%,78.83%,4.23%
ICICI-Prudential-Bluechip-Fund-Growth,Equity: Large Cap,Equity,1.58%,14.32,13.86,21.65,14.84,14.88,3.53,0.9,13.22,1.28,0.45%,7.24%,80.64%,11.62%
HDFC-Top-100-Fund-Growth-Option-Regular-Plan,Equity: Large Cap,Equity,1.68%,17.9,15.32,22.95,13.65,14.51,4.06,1.0,15.12,1.26,,4.88%,90.83%,4.29%
Canara-Robeco-Blue-Chip-Equity-Fund-Regular-Plan-Growth-Option,Equity: Large Cap,Equity,1.71%,12.26,8.93,15.59,15.14,14.13,-1.15,0.9,13.09,0.94,,6.66%,88.71%,4.63%
Aditya-Birla-Sun-Life-Frontline-Equity-Fund-Growth,Equity: Large Cap,Equity,1.68%,18.86,10.56,18.17,13.13,14.07,0.61,0.95,13.9,1.07,2.47%,9.42%,82.17%,5.92%
