Fund,Category,Asset Class,TER,CAGR Since Inception,1 Year CAGR,3 Years CAGR,5 Years CAGR,10 Years CAGR,Alpha,Beta,Standard Deviation,Sharpe Ratio,Small Cap,Mid Cap,Large Cap,Others
Equity: Large Cap
Nippon-India-Large-Cap-Fund-Growth-Plan-Growth-Option,Equity: Large Cap,Equity,1.71%,12.28,18.56,24.61,14.96,16.74,6.04,1.04,15.5,1.4,5.7%,11.27%,80.27%,2.76%
Tata-Large-Cap-Fund-Direct-Plan-Growth-Option,Equity: Large Cap,Equity,1.22%,13.48,12.03,19.31,14.69,14.4,1.49,0.97,14.3,1.12,6.48%,6.11%,84.07%,3.34%
SBI-Blue-Chip-Fund-Regular-Plan-Growth,Equity: Large Cap,Equity,1.57%,11.75,11.9,17.66,14.4,15.49,0.65,0.98,14.54,1.06,,10.97%,83.1%,5.93%
quant-Large-Cap-Fund-Growth-Option-Regular-Plan,Equity: Large Cap,,2.39%,10.18,12.15,0.0,0.0,0.0,,,,,,3.61%,57.15%,39.25%
Mirae-Asset-Large-Cap-Fund-Growth-Plan,Equity: Large Cap,Equity,1.55%,14.9,8.09,14.96,13.1,16.36,-0.99,0.89,13.03,0.95,2.92%,13.38%,83.01%,0.68%
Kotak-Bluechip-Fund-Growth,Equity: Large Cap,Equity,1.79%,18.72,11.63,16.62,14.86,14.48,-0.23,0.91,13.2,1.01,2.32%,14.28%,79.27%,4.11%
ICICI-Prudential-Bluechip-Fund-Growth,Equity: Large Cap,Equity,1.58%,14.43,15.31,20.13,15.0,15.25,3.53,0.9,13.22,1.28,0.45%,7.24%,80.64%,11.62%
HDFC-Top-100-Fund-Growth-Option-Regular-Plan,Equity: Large Cap,Equity,1.69%,17.97,16.56,22.04,13.88,14.84,4.06,1.0,15.12,1.26,,4.81%,90.96%,4.23%
Canara-Robeco-Blue-Chip-Equity-Fund-Regular-Plan-Growth-Option,Equity: Large Cap,Equity,1.71%,12.36,10.46,15.12,15.24,14.4,-1.15,0.9,13.09,0.94,,6.66%,88.71%,4.63%
Aditya-Birla-Sun-Life-Frontline-Equity-Fund-Growth,Equity: Large Cap,Equity,1.68%,18.92,11.42,17.61,13.32,14.36,0.61,0.95,13.9,1.07,2.47%,9.42%,82.17%,5.92%
Equity: Focused
HDFC-Focused-30-Fund-GROWTH-PLAN,Equity: Focused,Equity,1.79%,15.49,18.1,29.4,16.5,15.99,9.61,0.9,14.71,1.67,0.4%,5.78%,75.33%,18.49%
Franklin-India-Focused-Equity-Fund-Growth-Plan,Equity: Focused,Equity,1.81%,13.69,13.63,23.77,16.53,18.41,4.29,1.03,16.35,1.31,8.76%,11.88%,73.36%,5.99%
Nippon-India-Focused-Equity-Fund-Growth-Plan-Growth-Option,Equity: Focused,Equity,1.87%,14.23,14.88,23.92,16.87,19.65,3.32,1.07,17.13,1.23,25.56%,14.34%,53.92%,6.18%
SBI-Focused-Equity-Fund-Regular-Plan-Growth,Equity: Focused,Equity,1.61%,18.82,15.53,18.72,16.19,17.83,1.22,0.86,14.49,1.06,2.13%,35.07%,46.81%,15.99%
Mirae-Asset-Focused-Fund-Regular-Plan-Growth,Equity: Focused,Equity,1.75%,17.24,7.93,15.45,0.0,0.0,-1.7,0.85,13.3,0.93,11.34%,32.28%,56.07%,0.35%
Quant-Focused-Fund-Growth-Option-Regular-Plan,Equity: Focused,Equity,2.38%,13.28,15.27,24.19,16.85,19.31,5.72,0.87,15.97,1.18,6.04%,9.43%,40.56%,43.97%
ICICI-Prudential-Focused-Equity-Fund-Growth,Equity: Focused,Equity,1.85%,13.4,17.39,24.2,16.19,14.7,3.39,0.92,14.09,1.33,,20.27%,74.49%,5.22%
Equity: Large and Mid Cap
HDFC-Large-and-Mid-Cap-Fund-Growth-Option,Equity: Large and Mid Cap,Equity,1.78%,11.43,24.93,28.82,18.53,14.15,7.76,0.99,15.51,1.51,10.94%,35.33%,47.74%,5.99%
ICICI-Prudential-Large-Mid-Cap-Fund-Growth,Equity: Large and Mid Cap,Equity,1.8%,18.21,18.7,27.72,17.53,15.58,8.07,0.94,15.11,1.51,3.15%,35.88%,56.95%,4.02%
Motilal-Oswal-Large-and-Midcap-Fund-Regular-Plan-Growth,Equity: Large and Mid Cap,Equity,1.97%,20.55,29.17,25.84,0.0,0.0,6.55,0.91,14.99,1.39,19.45%,35.87%,38.62%,6.04%
UTI-Large-Mid-Cap-Fund-Regular-Plan-Growth-Option,Equity: Large and Mid Cap,Equity,2.12%,12.89,22.67,25.62,16.12,14.89,6.22,0.95,14.88,1.42,8.02%,38.85%,46.71%,6.4%
Axis-Growth-Opportunities-Fund-Regular-Plan-Growth,Equity: Large and Mid Cap,Equity,1.73%,18.85,22.14,20.52,18.8,0.0,1.73,0.96,16.28,1.04,4.69%,35.12%,35.83%,24.39%
BANDHAN-Core-Equity-Fund-Regular-Plan-Growth,Equity: Large and Mid Cap,Equity,1.96%,12.89,23.85,24.11,16.31,15.2,5.05,0.88,13.79,1.38,10.7%,36.88%,42.96%,9.46%
Mahindra-Manulife-Large-Mid-Cap-Fund-Regular-Plan-Growth,Equity: Large and Mid Cap,Equity,2.08%,21.0,20.59,25.16,0.0,0.0,4.77,0.94,14.75,1.33,17.53%,37.59%,40.85%,4.03%
Mirae-Asset-Emerging-Bluechip-Fund-Regular-Plan-Growth-Option,Equity: Large and Mid Cap,Equity,1.59%,19.97,17.26,20.36,18.39,23.39,2.48,0.9,13.79,1.21,9.74%,38.06%,51.84%,0.35%
Tata-Large-Mid-Cap-Fund-Regular-Plan-Growth-Option,Equity: Large and Mid Cap,Equity,1.87%,12.72,13.8,20.46,16.73,16.07,2.38,0.92,14.2,1.19,8.07%,40.55%,43.87%,7.51%
SBI-Large-MIDCap-Fund-Regular-Plan-Growth,Equity: Large and Mid Cap,Equity,1.71%,17.38,14.71,24.16,17.07,17.58,5.83,0.89,14.16,1.4,13.26%,42.29%,38.47%,5.94%
Nippon-India-Vision-Fund-Growth-Plan-Growth-Option,Equity: Large and Mid Cap,Equity,2.04%,17.86,20.01,21.76,14.64,15.16,3.19,0.93,14.05,1.27,,39.38%,56.31%,4.31%
Canara-Robeco-Emerging-Equities-Regular-Plan-Growth-Option,Equity: Large and Mid Cap,Equity,1.65%,16.89,12.47,18.56,16.2,21.95,0.66,0.91,13.96,1.08,4.93%,35.36%,55.92%,3.79%
Quant-Large-Mid-Cap-Fund-Growth-Option,Equity: Large and Mid Cap,Equity,2.15%,13.55,19.66,27.43,19.52,21.18,6.99,0.93,16.11,1.35,,31.56%,37.81%,30.61%
Equity: Mid Cap
Quant-Mid-Cap-Fund-Growth-Option-Regular-Plan,Equity: Mid Cap,Equity,1.92%,13.29,27.93,36.28,24.8,18.09,7.03,0.89,17.53,1.61,,54.61%,20.05%,25.35%
Motilal-Oswal-Midcap-Fund-Regular-Plan-Growth-Option,Equity: Mid Cap,Equity,1.81%,21.42,30.15,34.98,23.19,0.0,7.58,0.81,14.63,1.84,1.52%,67.23%,18.91%,12.34%
HDFC-Mid-Cap-Opportunities-Fund-Growth-Plan,Equity: Mid Cap,Equity,1.52%,17.31,35.93,32.39,21.63,22.12,3.14,0.94,15.17,1.68,16.21%,67.8%,6.66%,9.33%
SBI-Magnum-Midcap-Fund-Regular-Plan-Growth,Equity: Mid Cap,Equity,1.73%,16.88,24.99,31.53,21.4,20.7,3.61,0.88,15.09,1.64,14.22%,65.62%,11.27%,8.94%
Nippon-India-Growth-Fund-Growth-Plan-Growth-Option,Equity: Mid Cap,Equity,1.69%,22.32,34.59,31.99,22.72,20.26,2.88,0.93,15.21,1.65,12.59%,65.91%,16.08%,5.42%
BARODA-BNP-PARIBAS-Mid-Cap-Fund-Regular-Plan-Growth-Option,Equity: Mid Cap,,2.07%,18.69,24.54,0.0,0.0,0.0,-0.26,0.88,14.67,1.41,16.91%,65.05%,10.86%,7.18%
PGIM-India-Midcap-Opportunities-Fund-Regular-Plan-Growth-Option,Equity: Mid Cap,Equity,1.72%,17.46,11.72,27.29,23.21,0.0,-0.38,0.92,15.79,1.36,7.81%,68.01%,19.32%,4.86%
Axis-Midcap-Fund-Regular-Plan-Growth,Equity: Mid Cap,Equity,1.62%,17.71,18.3,20.29,18.75,20.09,-4.45,0.85,14.58,1.09,0.97%,65.81%,25.37%,7.85%
WhiteOak-Capital-Mid-Cap-Fund-Regular-Plan-Growth,Equity: Mid Cap,,2.11%,25.83,31.06,0.0,0.0,0.0,,,,,22.07%,54.89%,4.26%,18.78%
Edelweiss-Mid-Cap-Fund-Regular-Plan-Growth-Option,Equity: Mid Cap,Equity,1.86%,12.71,26.35,29.45,21.67,22.41,-0.24,0.96,15.73,1.45,12.52%,70.87%,11.35%,5.26%
Equity: Small Cap
Quant-Small-Cap-Fund-Growth-Regular-Plan,Equity: Small Cap,Equity,1.76%,12.48,37.92,44.0,29.25,18.0,8.12,0.93,19.39,1.73,67.84%,1.48%,10.59%,20.1%
Nippon-India-Small-Cap-Fund-Growth-Plan-Growth-Option,Equity: Small Cap,Equity,1.55%,21.31,37.74,42.17,26.29,28.36,9.67,0.86,16.48,2.0,66.74%,13.93%,11.29%,8.04%
HSBC-Small-Cap-Fund-Regular-Growth,Equity: Small Cap,,1.73%,21.82,38.89,40.82,21.9,0.0,8.44,0.83,16.01,1.94,68.67%,24.59%,2.87%,3.87%
Kotak-Small-Cap-Fund-Growth,Equity: Small Cap,Equity,1.68%,17.44,24.53,32.52,24.58,22.73,4.44,0.78,15.89,1.62,66.81%,22.86%,4.67%,5.66%
Franklin-India-Smaller-Companies-Fund-Growth,Equity: Small Cap,Equity,1.79%,15.69,42.41,37.35,21.13,22.46,7.27,0.8,15.73,1.85,74.83%,9.81%,5.3%,10.04%
Axis-Small-Cap-Fund-Regular-Plan-Growth,Equity: Small Cap,Equity,1.64%,23.4,28.55,30.97,25.72,0.0,6.36,0.65,12.91,1.87,67.85%,15.69%,2.49%,13.94%
HDFC-Small-Cap-Fund-Growth-Option,Equity: Small Cap,Equity,1.65%,16.45,38.69,38.28,20.88,21.04,6.14,0.9,17.31,1.78,79.98%,8.46%,3.62%,7.94%
ICICI-Prudential-Smallcap-Fund-Growth,Equity: Small Cap,Equity,1.83%,12.76,27.87,35.67,24.52,18.32,6.19,0.8,16.15,1.73,70.2%,7.21%,6.32%,16.29%
Canara-Robeco-Small-Cap-Fund-Regular-Plan-Growth-Option,Equity: Small Cap,Equity,1.73%,26.56,24.28,35.77,0.0,0.0,6.11,0.8,15.73,1.77,66.54%,13.51%,12.07%,7.88%
UTI-Small-Cap-Fund-Regular-Plan-Growth-Option,Equity: Small Cap,Equity,1.91%,26.71,26.22,0.0,0.0,0.0,,,,,74.29%,18.65%,1.08%,5.98%
Invesco-India-Smallcap-Fund-Regular-Plan-Growth,Equity: Small Cap,Equity,1.9%,23.8,36.25,36.29,24.06,0.0,4.0,0.84,16.7,1.61,70.88%,18.33%,2.73%,8.06%
Tata-Small-Cap-Fund-Regular-Plan-Growth,Equity: Small Cap,Equity,1.76%,24.58,29.42,36.95,24.68,0.0,8.08,0.78,15.99,1.83,80.65%,2.81%,1.29%,15.25%
Equity: Flexi Cap
quant-Flexi-Cap-Fund-Growth-Option-Regular-Plan,Equity: Flexi Cap,Equity,2.02%,14.04,15.16,32.41,23.66,22.64,8.73,0.97,17.72,1.4,21.41%,6.16%,38.31%,34.14%
Parag-Parikh-Flexi-Cap-Fund-Regular-Plan-Growth,Equity: Flexi Cap,Equity,1.4%,18.85,25.15,22.46,21.5,19.06,6.58,0.64,11.64,1.48,7.45%,6.21%,56.01%,30.33%
HDFC-Flexi-Cap-Fund-Growth-Plan,Equity: Flexi Cap,Equity,1.59%,18.54,17.89,28.37,16.98,17.01,7.59,1.03,16.26,1.51,2.66%,5.27%,76.79%,15.28%
JM-Flexicap-Fund-Regular-Growth-option,Equity: Flexi Cap,Equity,2.34%,13.81,27.82,26.55,19.41,18.68,6.1,1.0,15.45,1.46,24.14%,20.6%,51.37%,3.91%
PGIM-India-Flexi-Cap-Fund-Regular-Plan-Growth-Option,Equity: Flexi Cap,Equity,1.79%,12.6,9.65,18.3,17.75,0.0,-0.48,0.92,14.6,1.01,5.65%,23.15%,67.11%,4.09%
Kotak-Flexicap-Fund-Growth,Equity: Flexi Cap,Equity,1.53%,13.75,13.25,16.76,13.86,16.56,-1.17,0.9,13.54,1.02,1.84%,24.3%,72.22%,1.65%
Motilal-Oswal-Flexi-Cap-Fund-Regular-Plan-Growth-Option,Equity: Flexi Cap,Equity,1.79%,15.97,19.49,13.64,10.89,0.0,-3.01,0.8,13.32,0.77,9.55%,29.24%,46.38%,14.81%
Samco-Flexi-Cap-Fund-Regular-Plan-Growth-Option,Equity: Flexi Cap,,2.27%,5.82,16.37,0.0,0.0,0.0,,,,,6.56%,31.78%,47.8%,13.86%
Franklin-India-Flexi-Cap-Fund-Growth,Equity: Flexi Cap,Equity,1.79%,17.85,17.58,23.94,16.37,16.87,4.93,0.95,14.74,1.4,9.85%,11.33%,66.96%,11.86%
Equity: Multi Cap
Nippon-India-Multi-Cap-Fund-Growth-Plan-Growth-Option,Equity: Multi Cap,Equity,1.68%,17.81,27.57,33.15,18.02,17.67,11.09,1.06,17.07,1.67,28.81%,26.18%,42.34%,2.67%
Mahindra-Manulife-Multi-Cap-Fund-Regular-Plan-Growth,Equity: Multi Cap,Equity,1.97%,15.95,23.32,27.39,21.16,0.0,5.65,0.99,15.69,1.4,32.98%,25.22%,37.29%,4.51%
ICICI-Prudential-Multicap-Fund-Growth,Equity: Multi Cap,Equity,1.82%,14.89,21.5,24.77,15.38,16.68,4.71,0.95,14.92,1.37,25.67%,26.53%,43.05%,4.82%
Baroda-BNP-Paribas-MULTI-CAP-FUND-Regular-Plan-Growth-Option,Equity: Multi Cap,Equity,2.11%,16.25,20.78,24.17,18.12,15.47,2.57,0.96,15.07,1.22,24.95%,27.88%,37.69%,9.48%
Sundaram-Multi-Cap-Fund-Formerly-Known-as-Principal-Multi-Cap-Growth-Fund-Growth-Option,Equity: Multi Cap,,2.07%,15.33,17.35,21.57,14.48,16.52,2.08,0.92,14.15,1.23,23.74%,26.87%,41.61%,7.77%
Hybrid: Multi Asset Allocation
Nippon-India-Multi-Asset-Fund-Regular-Plan-Growth-Option,Hybrid: Multi Asset Allocation,Mixed Asset,1.73%,15.41,16.25,14.44,0.0,0.0,2.7,0.64,8.78,1.17,2.55%,13.81%,30.94%,52.69%
Quant-Multi-Asset-Fund-GROWTH-OPTION-Regular-Plan,Hybrid: Multi Asset Allocation,Mixed Asset,2.01%,10.61,12.94,26.83,22.46,14.32,12.7,0.56,14.44,1.34,10.24%,,14.32%,75.43%
Tata-Multi-Asset-Opportunities-Fund-Regular-Plan-Growth,Hybrid: Multi Asset Allocation,Mixed Asset,2.01%,19.16,11.29,15.8,0.0,0.0,3.92,0.65,8.51,1.37,5.28%,5.78%,53.18%,35.76%
Nippon-India-Multi-Asset-Fund-Regular-Plan-Growth-Option,Hybrid: Multi Asset Allocation,Mixed Asset,1.73%,15.41,16.25,14.44,0.0,0.0,2.7,0.64,8.78,1.17,2.55%,13.81%,30.94%,52.69%
HDFC-Multi-Asset-Fund-Growth-Option,Hybrid: Multi Asset Allocation,Mixed Asset,2.09%,9.86,11.74,13.85,12.91,10.86,3.15,0.57,7.95,1.25,6.09%,3.77%,55.39%,34.75%
Equity: Contra
SBI-Contra-Fund-Regular-Plan-Growth,Equity: Contra,Equity,1.68%,16.64,26.05,34.75,22.45,17.98,14.64,0.89,14.56,1.92,13.98%,24.86%,35.11%,26.03%
Kotak-India-EQ-Contra-Fund-Growth,Equity: Contra,Equity,2.05%,13.8,21.26,22.28,16.9,16.11,3.84,0.93,13.85,1.28,10.36%,25.22%,60.28%,4.14%
